AppId, UserId, TimeStamp, OnBattery, ScreenOn, BatterySaverActive, LowPowerEpochActive, Foreground, InteractivityState, Container, Committed, TimeInMSec, MeasuredBitmap, EnergyLoss, CPUEnergyConsumption, SocEnergyConsumption, DisplayEnergyConsumption, DiskEnergyConsumption, NetworkEnergyConsumption, MBBEnergyConsumption, OtherEnergyConsumption, EmiEnergyConsumption, CPUEnergyConsumptionWorkOnBehalf, CPUEnergyConsumptionAttributed, TotalEnergyConsumption
\Device\HarddiskVolume3\Users\scottcha\AppData\Local\Apps\2.0\C15K71QW.YPG\A6PRB3XG.4R6\move..tion_7b728a49b2b0d019_0001.0005_cab60a8d7bc05604\Moveslink2.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 30916, b000000000, 0, 1644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1644
\Device\HarddiskVolume3\ProgramData\Microsoft\Windows Defender\Platform\4.18.2011.6-0\MsMpEng.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 15633, 0, 0, 35, 0, 0, 0, 0, 541, 536, 15668
\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 5537, 0, 0, 2, 3375, 0, 0, 0, 0, 23, 8914
\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe, S-1-5-21-3210033539-3265524892-1105095863-1006, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 30916, b000000000, 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 353
System Interrupts, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 5944, 47148, 0, 0, 0, 0, 0, 0, 0, 0, 53092
\Device\HarddiskVolume3\Windows\System32\csrss.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 30916, b000000000, 0, 636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 636
\Device\HarddiskVolume3\Windows\CCM\CcmExec.exe, S-1-5-18, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 7394, 0, 0, 461, 15, 0, 0, 0, 49, 1530, 7870
\Device\HarddiskVolume3\Windows\System32\vmwp.exe, S-1-5-83-1-1345184531-1216450621-1748305323-4205298097, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 325, 0, 0, 25, 0, 0, 0, 0, 0, 42, 350
\Device\HarddiskVolume3\Windows\System32\vmwp.exe, S-1-5-83-1-38035312-1290844911-4178270645-1559603911, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume3\Windows\System32\conhost.exe, S-1-12-1-3773042226-1119254156-4207997322-1205333570, 2020-12-14:17:50:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 30916, b000000000, 0, 5489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5489
